Time,Open,High,Low,Close,Volume,Trades
7/15/2020 16:00,0.68,0.6939,0.6776,0.6939,5.12088852,21
7/15/2020 17:00,0.695,0.8899,0.6794,0.8899,0.40659498,9
7/15/2020 18:00,0.6801,0.6911,0.6801,0.6891,26.20960168,47
7/15/2020 19:00,0.6891,0.6928,0.6823,0.6928,6.20160631,14
7/15/2020 20:00,0.6807,0.6906,0.6801,0.6886,1.98639825,12
7/15/2020 21:00,0.6795,0.686,0.6794,0.683,0.41498606,12
7/15/2020 22:00,0.684,0.8795,0.6777,0.6777,30.63131309,49
7/15/2020 23:00,0.6778,0.8497,0.676,0.676,2.05000046,9
7/16/2020 0:00,0.6692,0.8399,0.6692,0.6709,0.22141429,7
7/16/2020 1:00,0.6712,0.6712,0.6712,0.6712,0.0356546,3
7/16/2020 2:00,0.8394,0.8394,0.671,0.8392,0.60785133,11
7/16/2020 4:00,0.671,0.8389,0.6709,0.8387,0.64780085,14
7/16/2020 5:00,0.6709,0.8383,0.6709,0.671,0.1559083,8
7/16/2020 6:00,0.7497,0.7497,0.671,0.7497,0.16635615,7
7/16/2020 7:00,0.679,0.7977,0.6788,0.7977,2.75472073,17
7/16/2020 8:00,0.7977,0.7977,0.6709,0.6709,14.78308892,18
7/16/2020 9:00,0.6702,0.6788,0.6702,0.6726,8.90954949,9
7/16/2020 10:00,0.6848,0.6848,0.6654,0.6678,2.60313732,7
7/16/2020 11:00,0.6803,0.6803,0.665,0.665,6.03354482,16
7/16/2020 13:00,0.665,0.665,0.665,0.665,9.16929,16
7/16/2020 14:00,0.6671,0.6671,0.6671,0.6671,1,2
7/16/2020 15:00,0.6608,0.6739,0.6541,0.6691,2.18414903,12
7/16/2020 16:00,0.6567,0.6619,0.6562,0.6562,0.12423466,8
7/16/2020 17:00,0.6676,0.6676,0.6676,0.6676,2.45177272,4
7/16/2020 18:00,0.6643,0.6799,0.6643,0.6799,4.96246792,17
7/16/2020 19:00,0.6525,0.6799,0.6525,0.6799,0.08320588,5
7/16/2020 20:00,0.6485,0.6799,0.6485,0.6799,0.08994581,5
7/16/2020 21:00,0.6493,0.6709,0.6493,0.6608,2.93524774,17
7/16/2020 22:00,0.6688,0.6704,0.6517,0.6646,7.86608337,15
7/17/2020 0:00,0.6581,0.6678,0.6581,0.6591,0.24577315,13
7/17/2020 1:00,0.6697,0.6697,0.6623,0.6623,0.46779768,4
