Time,Open,High,Low,Close,Volume,Trades
9/28/2018 21:00,0.0035,0.0035,0.0035,0.0035,2,2
10/23/2018 15:00,0.0036,0.0036,0.0036,0.0036,6,1
10/24/2018 23:00,0.014,0.014,0.014,0.014,1,1
10/25/2018 2:00,0.0145,0.0145,0.0145,0.0145,1,1
11/10/2018 11:00,0.016,0.0163,0.016,0.0163,2,2
11/20/2018 15:00,0.0036,0.0036,0.0036,0.0036,3.1,1
1/30/2019 1:00,0.01634,0.01634,0.01633,0.01633,2,2
2/12/2019 22:00,0.031,0.031,0.031,0.031,750,1
2/13/2019 2:00,0.035,0.035,0.035,0.035,1000,1
2/13/2019 10:00,0.035,0.035,0.035,0.035,2340.844,2
2/13/2019 11:00,0.035,0.035,0.035,0.035,1657.143,1
2/13/2019 15:00,0.035,0.035,0.035,0.035,500,1
2/13/2019 22:00,0.035,0.035,0.035,0.035,500,1
2/15/2019 10:00,0.035,0.035,0.035,0.035,12.512,2
2/18/2019 11:00,0.032,0.032,0.031,0.031,941,2
2/18/2019 15:00,0.03,0.03,0.03,0.03,366,1
2/18/2019 18:00,0.03,0.03,0.03,0.03,190,1
2/19/2019 15:00,0.0271,0.0271,0.0271,0.0271,750,2
2/19/2019 20:00,0.0271,0.0271,0.0271,0.0271,700,2
2/21/2019 3:00,0.029,0.029,0.029,0.029,100,1
3/2/2019 15:00,0.02903535,0.02903535,0.02903535,0.02903535,5,1
3/25/2019 10:00,0.024,0.024,0.024,0.024,690,1
3/25/2019 11:00,0.024,0.024,0.024,0.024,310,1
3/25/2019 12:00,0.0234,0.0234,0.0234,0.0234,1350,2
3/25/2019 13:00,0.022,0.022,0.022,0.022,1363.636,1
3/25/2019 14:00,0.0233,0.0233,0.0233,0.0233,500,1
3/25/2019 15:00,0.024,0.024,0.024,0.024,700,1
4/2/2019 4:00,0.079,0.95,0.02400002,0.02400002,4.243,9
4/2/2019 14:00,0.02400005,0.02400005,0.024,0.024,17.158,5
4/3/2019 3:00,0.02,0.02,0.02,0.02,2.105,1
4/3/2019 12:00,0.023,0.02400002,0.023,0.02400002,241.359,3
4/3/2019 15:00,0.02400002,0.02400002,0.02400002,0.02400002,0.419,1
4/7/2019 12:00,0.02400001,0.02400002,0.02400001,0.02400002,5.581,2
4/7/2019 21:00,0.0239,0.0239,0.0239,0.0239,5,1
4/8/2019 10:00,0.0229,0.0229,0.0229,0.0229,83.682,1
4/12/2019 11:00,0.0192,0.0192,0.019,0.019,36.322,3
4/15/2019 14:00,0.02179999,0.0239,0.02179999,0.0239,199.73,3
4/16/2019 20:00,0.0239,0.0239,0.0239,0.0239,0.27,1
4/16/2019 22:00,0.0036,0.0036,0.0036,0.0036,1,1
4/17/2019 3:00,0.019,0.019,0.015,0.015,214.628,20
4/17/2019 7:00,0.016,0.016,0.01562,0.01562,5.037,2
4/17/2019 23:00,0.01562,0.01562,0.015,0.015,59.964,10
4/24/2019 5:00,0.0149,0.0149,0.0144,0.0144,30,6
5/3/2019 22:00,0.0143,0.0143,0.0143,0.0143,4.832,1
5/3/2019 23:00,0.0143,0.0143,0.014,0.014,15,6
5/4/2019 6:00,0.0165,0.0171,0.0165,0.0171,126.649,6
5/4/2019 11:00,0.014,0.014,0.0004,0.0004,2.65,2
