Time,Open,High,Low,Close,Volume,Trades
10/15/2020 15:00,42.79,42.79,42.79,42.79,0.002,1
10/15/2020 16:00,41.12,41.12,41.12,41.12,0.01009986,3
10/15/2020 17:00,44.41,44.41,44.41,44.41,0.002,1
10/15/2020 18:00,45,45.89,45,45.89,0.00978348,2
10/15/2020 21:00,41.99,41.99,41.73,41.73,0.004,2
10/16/2020 1:00,38.14,38.14,36.55,36.55,0.03374,3
10/16/2020 4:00,37.52,37.52,37.52,37.52,0.04752801,3
10/16/2020 5:00,41.76,41.76,41.76,41.76,0.002,1
10/16/2020 6:00,41.99,41.99,41.99,41.99,0.008,1
10/16/2020 8:00,41.98,41.98,41.98,41.98,0.002,1
10/16/2020 10:00,40.71,40.71,40.71,40.71,0.05,1
10/16/2020 12:00,38.12,38.12,36.07,36.07,0.05989997,4
10/16/2020 18:00,40.19,40.19,40.19,40.19,0.003,1
10/16/2020 23:00,40.18,40.18,40.18,40.18,0.01241931,1
10/17/2020 0:00,36.99,45.56,36.99,45.56,0.201,8
10/17/2020 1:00,36.72,36.72,36.72,36.72,0.01083638,4
10/17/2020 6:00,39.34,39.34,39.34,39.34,0.00135,1
10/17/2020 7:00,37.22,37.22,37.22,37.22,0.04618068,8
10/17/2020 16:00,37.89,37.89,37.89,37.89,0.00144382,1
10/17/2020 17:00,37.23,37.9,37.16,37.16,0.06239199,8
10/18/2020 12:00,39.81,39.81,39.81,39.81,0.00168878,1
10/18/2020 16:00,41.46,41.47,41.46,41.47,0.07826356,2
10/18/2020 17:00,41.3,41.3,41.3,41.3,0.00184709,1
10/18/2020 22:00,39.81,41.11,39.68,39.68,0.04169598,4
10/19/2020 7:00,38.67,38.67,38.67,38.67,0.00139638,2
10/19/2020 18:00,38.5,38.71,38.5,38.71,0.08859195,7
10/19/2020 22:00,38.39,38.39,38.39,38.39,0.00044578,1
10/20/2020 0:00,36.76,36.76,36.45,36.45,0.03110363,4
10/20/2020 1:00,36.26,36.87,36.26,36.87,0.03552724,3
10/20/2020 4:00,36.72,36.72,36.72,36.72,0.0044,1
10/20/2020 5:00,36.29,36.29,35.95,35.95,0.00819767,3
10/20/2020 16:00,36.47,36.47,36.47,36.47,0.01,1
10/20/2020 18:00,35.29,35.29,34.6,34.6,0.00318292,3
10/20/2020 19:00,34.92,35.08,34.92,35.08,0.0031832,2
10/20/2020 20:00,34.94,35.17,34.94,35.17,0.0003891,2
10/20/2020 21:00,35.49,36.02,35.45,35.85,0.01652576,4
10/20/2020 22:00,35.71,35.74,35.71,35.74,0.00783741,2
10/21/2020 1:00,35.09,35.09,35.09,35.09,0.006,1
10/21/2020 3:00,35.56,35.56,35.56,35.56,0.05448658,1
10/21/2020 4:00,35.45,35.45,35.38,35.38,0.00171231,2
10/21/2020 5:00,36.54,36.54,36.54,36.54,0.00011611,1
10/21/2020 10:00,35.35,35.38,35.35,35.38,0.21537951,3
10/21/2020 13:00,34.72,45.8,34.7,34.7,0.7636825,14
10/21/2020 15:00,34.9,34.9,34.9,34.9,0.00089895,1
10/21/2020 16:00,36.34,36.34,36.34,36.34,0.0018,1
10/21/2020 18:00,36.53,36.58,36.53,36.58,0.01741481,3
10/21/2020 19:00,36.09,36.09,36.05,36.05,0.00141,2
10/21/2020 20:00,35.91,35.91,35.55,35.55,0.05585341,2
10/21/2020 21:00,35.77,35.77,35.77,35.77,0.00014609,1
10/21/2020 22:00,35.26,35.26,35.26,35.26,0.03564139,1
10/21/2020 23:00,35.13,35.13,34.07,34.07,0.02484411,5
10/22/2020 0:00,34.21,34.21,33.73,33.73,0.00130067,2
10/22/2020 1:00,34,34.41,34,34.41,0.00029137,2
10/22/2020 3:00,33.78,33.78,33.78,33.78,0.0001,1
10/22/2020 4:00,33.28,34.12,28.34,34.12,0.25009984,14
10/22/2020 5:00,34.36,34.36,34.36,34.36,0.00121483,1
10/22/2020 6:00,34.35,34.35,34.35,34.35,0.05092831,3
10/22/2020 7:00,34.41,34.41,34.35,34.35,0.01506981,6
10/22/2020 12:00,33.34,33.34,33.34,33.34,0.00038429,1
10/22/2020 15:00,33.05,33.05,33.05,33.05,0.00011926,1
10/22/2020 16:00,33.87,34.03,33.74,33.74,0.37170187,4
10/22/2020 17:00,33.95,33.95,33.32,33.32,0.0018465,3
10/22/2020 18:00,32.25,33.27,29.98,32.97,0.45719721,16
10/22/2020 20:00,32.93,33.09,32.82,32.97,0.85325047,11
10/22/2020 22:00,33.36,33.36,33.36,33.36,0.06251778,2
10/23/2020 1:00,33.04,33.46,32.96,33.41,0.99219222,15
10/23/2020 2:00,33.75,33.75,33.75,33.75,0.00013078,1
10/23/2020 4:00,34.41,34.41,34.41,34.41,0.00014006,1
10/23/2020 6:00,34.9,34.9,30.78,34.88,0.02928652,3
10/23/2020 9:00,33.71,33.92,33.71,33.92,0.06212667,2
10/23/2020 11:00,34.37,34.37,34.37,34.37,0.04,1
10/23/2020 12:00,34.99,34.99,34.86,34.86,0.00069341,2
10/23/2020 13:00,36.26,36.26,36.26,36.26,0.00473019,1
10/23/2020 14:00,34.81,34.81,34.81,34.81,0.00011545,1
10/23/2020 15:00,35.37,35.37,35.22,35.22,0.04084794,2
10/23/2020 16:00,35.17,35.17,35.07,35.07,0.34382622,6
10/23/2020 19:00,34.88,34.88,34.88,34.88,0.06093346,2
10/23/2020 21:00,35.3,35.51,35.3,35.51,0.00205714,2
10/23/2020 23:00,35.77,35.84,35.77,35.84,0.3132072,3
10/24/2020 0:00,36.21,36.43,36.21,36.43,0.07099408,3
10/24/2020 1:00,36.27,36.27,35.64,35.64,0.13634971,4
10/24/2020 2:00,35.86,35.86,35.86,35.86,0.00043919,1
10/24/2020 4:00,36.74,36.76,36.74,36.76,0.00220403,3
10/24/2020 5:00,37.02,37.02,37.02,37.02,0.0010326,1
10/24/2020 6:00,37.1,37.1,37.1,37.1,0.01999984,1
10/24/2020 7:00,37.04,37.04,37.04,37.04,0.00727812,2
10/24/2020 12:00,36.85,36.85,36.85,36.85,0.00018821,1
10/24/2020 13:00,36.79,36.79,36.79,36.79,0.00015732,1
10/24/2020 14:00,36.88,36.88,36.88,36.88,0.00010586,1
10/24/2020 16:00,36.57,36.57,36.57,36.57,0.00035212,1
10/24/2020 21:00,36.25,36.25,36.16,36.16,0.53112168,4
10/24/2020 23:00,35.87,35.87,35.87,35.87,0.08120113,1
10/25/2020 1:00,35.77,35.77,35.77,35.77,0.00011457,1
